SiteName,SiteCode,Replicate,Latitude,Longitude,Depth,area100_m,perim100_m,area200_m,perim200_m,area500_m,perim500_m,WetTemp,DryTemp,YrTemp,WetChla,DryChla,YrChla,AverageVis,,Time of day,Facing mangroves?,Location,Tide,Substrate type,Bioregion,Island,Habitat
Albemarle1,ALB,1,0.16093,-91.36082,2.96,9255.285,1297.089,20301.891,2288.106,36600.373,3804.18,23.72466046,26.34996091,25.37158697,0.811232011,0.48956806,0.811232011,2.8155,,Morning,No,Outside,Incoming,Mixed,CSE,Isabela E,Mangrove
Albemarle2,ALB,2,0.16136,-91.36199,3.57,2031.55,388.166,19520.55,2051.244,29239.055,3251.848,23.72466046,26.34996091,25.37158697,0.811232011,0.48956806,0.811232011,1.8801,,Morning,Yes,Outside,Outgoing,Sand,CSE,Isabela E,Mangrove
Albemarle3,ALB,3,0.16136,-91.35912,2.59,2164.15,278.22,9327.569,1283.83,43987.078,4297.525,23.72466046,26.34996091,25.37158697,0.811232011,0.48956806,0.811232011,2.5054,,Morning,No,Outside,Outgoing,Rock,CSE,Isabela E,Mangrove
Baleado1,BALE,1,-0.67413,-91.21167,1.19,18912,1648.825,51470.965,3856.008,163412.54,9784.32,22.50788439,24.49777688,23.32193132,3.041879022,1.078679919,2.863406376,1.0357,,Morning,Yes,Outside,Incoming,Mud,Western,Fernandina,Mangrove
Baleado2,BALE,2,-0.67483,-91.21262,1.8,21386.179,1706.557,63854.761,4112.454,148922.932,8623.655,22.54302006,24.49883769,23.3716996,3.041879022,1.078679919,2.863406376,1.4085,,Morning,Yes,Outside,Incoming,Mixed,Western,Fernandina,Mangrove
Baleado3,BALE,3,-0.67247,-91.21333,1.07,12837.29,1007.021,56815.078,3378.744,165740.714,10581.738,22.54302006,24.49883769,23.3716996,3.041879022,1.078679919,2.863406376,2.2125,,Morning,Yes,Inside,Incoming,Mixed,Western,Fernandina,Mangrove
Ballena1,BALL,1,-0.81218,-90.82709,2.65,5918.076,479.483,37203.369,1990.599,99186.191,4504.808,23.1270127,24.69999886,24.69999886,0.4661147,0.596688449,0.531401575,1.5884,,Afternoon,Yes,Outside,Outgoing,Rock,CSE,Isabela E,Mangrove
Ballena2,BALL,2,-0.8116,-90.82824,1.95,11625.856,629.239,41910.389,2218.473,98889.077,4540.408,23.1270127,24.69999886,24.69999886,0.4661147,0.596688449,0.531401575,1.7272,,Afternoon,Yes,Outside,Outgoing,CannotIdentify,CSE,Isabela E,Mangrove
Ballena3,BALL,3,-0.81284,-90.82839,1.4,14715.289,596.807,45288.013,1717.786,119945.797,4808.201,23.02599945,25.72357069,24.59958267,0.4661147,0.596688449,0.531401575,1.2056,,Afternoon,Yes,Outside,Outgoing,CannotIdentify,CSE,Isabela E,Mangrove
CaletaDereck1,DER,1,-0.63723,-91.08823,2.44,,,,,,,21.58480718,24.14296256,22.63132529,1.809620371,0.730434,1.689710774,5.5639,,Morning,No,Outside,Incoming,Rock,Western,Fernandina,Rocky
CaletaDereck2,DER,2,-0.6388,-91.09166,1.8,,,,,754.28,364.524,21.74749817,24.49038794,22.41533476,1.809620371,0.730434,1.689710774,5.5,,Morning,No,Outside,Incoming,Rock,Western,Fernandina,Mixed
CaletaDereck3,DER,3,-0.6429,-91.09275,1.74,,,385.851,146.799,754.28,364.524,21.74749817,24.49038794,22.41533476,1.809620371,0.730434,1.689710774,3.9,,Morning,No,Outside,Incoming,Rock,Western,Fernandina,Mixed
Cartago1,CAR,1,-0.62193,-90.9105,3.14,20556.453,1039.383,63424.779,2242.35,304271.41,6848.732,23.13984179,26.26668129,24.61163066,1.615903695,0.952624614,1.284264155,3.5714,,Morning,Partially,Outside,Outgoing,Rock,CSE,Isabela E,Mangrove
Cartago2,CAR,2,-0.62165,-90.91431,1.65,19571.618,1579.414,49514.697,3822.855,210346.939,9418.019,23.26106861,26.38079571,24.77866284,1.615903695,0.952624614,1.284264155,4.7951,,Morning,No,Outside,Outgoing,Rock,CSE,Isabela E,Mangrove
Cartago3,CAR,3,-0.6282,-90.92087,2.59,25840.402,1395.692,84075.337,3151.021,300430.638,8073.364,23.26106861,26.38079571,24.77866284,1.618724587,0.953706706,1.218607823,10.0613,,Morning,Yes,Outside,Outgoing,Rock,CSE,Isabela E,Mangrove
Cartago4,CAR,4,-0.62701,-90.92548,1.98,30856.606,1157.413,101158.487,2537.966,283027.908,7802.013,23.26106861,26.38079571,24.77866284,1.618724587,0.953706706,1.218607823,1.2614,,Afternoon,Yes,Outside,Incoming,Rock,CSE,Isabela E,Mangrove
Cartago5,CAR,5,-0.62797,-90.93463,1.83,30660.289,949.606,90794.775,2329.381,227992.916,6843.074,23.26106861,26.38079571,24.77866284,1.618724587,0.953706706,1.218607823,2.246,,Afternoon,Yes,Outside,Incoming,Rock,CSE,Isabela E,Mangrove
Cartago6,CAR,6,-0.61317,-90.9577,2.59,29838.937,913.506,108208.245,2944.016,317807.9,9907.765,23.46846875,26.56902205,25.02187086,2.863716888,1.070812289,1.760390981,1.3852,,Afternoon,Yes,Outside,Incoming,Mud,CSE,Isabela E,Mangrove
Cartago7,CAR,7,-0.57564,-90.97407,2.32,9074.122,1072.939,25851.033,2800.492,112967.202,9642.281,23.1325544,26.6603945,24.66471243,1.340003006,1.029484398,1.124464168,2.2459,,Afternoon,No,Inside,Incoming,Rock,CSE,Isabela E,Mangrove
Cartago8,CAR,8,-0.57434,-90.97934,2.93,23473.37,847.89,55597.339,1717.247,248267.752,10351.383,23.1325544,26.6603945,24.66471243,1.340003006,1.029484398,1.124464168,1.7434,,Afternoon,No,Outside,Incoming,Rock,CSE,Isabela E,Mangrove
Cartago9,CAR,9,-0.57869,-90.98064,1.95,26348.635,1361.024,79143.07,3923.183,232174.812,9592.642,23.1325544,26.6603945,24.66471243,1.340003006,1.029484398,1.124464168,2.1281,,Afternoon,Partially,Outside,Incoming,Rock,CSE,Isabela E,Mangrove
CartagoChico2,CARC,2,-0.65801,-90.86535,2.96,33917.079,651.175,130161.839,1494.155,672924.654,4698.128,23.21888747,26.08960882,24.41242671,0.507815044,0.592170703,0.540259529,2.3196,,Morning,No,Inside,Outgoing,Rock,CSE,Isabela E,Mangrove
CartagoChico3,CARC,3,-0.6555,-90.86346,2.53,29825.836,828.263,111157.186,1580.452,563735.383,4404.338,23.21888747,26.08960882,24.41242671,0.507815044,0.592170703,0.540259529,2.6076,,Morning,No,Inside,Outgoing,Sand,CSE,Isabela E,Mangrove
Itabaca1,ITA,1,-0.48887,-90.2732,1.92,5246.988,284.528,5462.088,288.049,45613.642,1686.452,23.3621892,25.9531042,24.62798409,0.650193962,0.606858556,0.622573206,2.6268,,Afternoon,No,Outside,Incoming,Mixed,CSE,Santa Cruz,Mangrove
Itabaca2,ITA,2,-0.48645,-90.27462,1.19,8777.826,376.291,16093.397,690.857,46888.537,1936.467,23.60295923,25.66923876,24.85117765,0.650193962,0.606858556,0.622573206,4.248,,Afternoon,Partially,Outside,Incoming,Mixed,CSE,Santa Cruz,Mangrove
Itabaca3,ITA,3,-0.48742,-90.2767,1.25,11558.799,567.113,34754.674,1374.303,57514.855,3041.25,23.60295923,25.66923876,24.85117765,0.650193962,0.606858556,0.622573206,2.9691,,Afternoon,Partially,Outside,Incoming,Mixed,CSE,Santa Cruz,Mangrove
LaBomba1,BOM,1,-0.18699,-90.68752,2.65,,,1966.303,432.55,14744.901,1718.693,23.79708227,26.20196397,25.48049946,0.580977365,0.872537076,0.613372889,2.4901,,Morning,No,Outside,Outgoing,Rock,CSE,Santiago,Mixed
LaBomba2,BOM,2,-0.18522,-90.69897,2.53,2908.301,575.468,10763.65,1840.32,27383.285,4304.781,23.79708227,26.20196397,25.48049946,0.580977365,0.872537076,0.613372889,1.3809,,Morning,No,Outside,Outgoing,Rock,CSE,Santiago,Mangrove
LaBomba3,BOM,3,-0.17611,-90.7008,4.24,6542.515,996.86,15981.992,2066.917,22262.895,3056.581,23.79708227,26.20196397,25.48049946,0.580977365,0.872537076,0.613372889,1.737,,Morning,No,Inside,Outgoing,Sand,CSE,Santiago,Mangrove
LasAzules1,POZA,1,-0.3489,-90.67307,2.59,16250.79,1162.491,44002.919,2574.037,103213.289,8692.471,23.45334113,26.21309939,24.7612683,0.656141704,0.405411527,0.54470607,1.3557,,Morning,Yes,Outside,Outgoing,Rock,CSE,Santiago,Mangrove
LasAzules2,POZA,2,-0.34829,-90.67195,1.74,7825.29,519.479,45776.81,2685.293,119908.521,8127.599,23.45334113,26.21309939,24.7612683,0.656141704,0.405411527,0.54470607,1.25,,Morning,Yes,Outside,Outgoing,Rock,CSE,Santiago,Mangrove
LasAzules3,POZA,3,-0.34713,-90.67223,1.34,12875.471,793.508,40870.683,2392.538,109132.059,7274.28,23.45334113,26.21309939,24.7612683,0.656141704,0.405411527,0.54470607,1.5,,Morning,Yes,Outside,Outgoing,Rock,CSE,Santiago,Mangrove
LasMarielas1,MAR,1,-0.59613,-91.07214,1.92,13937.879,1682.791,29591.922,2845.235,117468.852,8010.086,21.71910749,24.31412052,22.45227205,1.272217797,0.829568505,1.227952868,3.9033,,Morning,No,Outside,Incoming,Rock,Western,Fernandina,Mangrove
LasMarielas2,MAR,2,-0.59678,-91.0709,2.77,19753.624,1342.592,44509.138,3418.881,126809.205,7686.515,21.71910749,24.31412052,22.45227205,1.272217797,0.829568505,1.227952868,1.2855,,Morning,No,Outside,Incoming,CannotIdentify,Western,Fernandina,Mangrove
LasMarielas3,MAR,3,-0.5958,-91.06966,3.9,8981.132,972.174,36099.259,3197.659,130586.808,7184.9,21.71910749,24.31412052,22.45227205,1.272217797,0.829568505,1.227952868,1.5428,,Afternoon,Yes,Outside,Incoming,CannotIdentify,Western,Fernandina,Mangrove
LasSardinas1,POZS,1,-0.71701,-89.38812,0.94,13812.574,1067.3,23379.65,1846.999,31851.649,3003.107,22.64318066,25.6725296,24.60452861,1.203910828,0.876693127,1.203910828,0.7003,,Afternoon,Yes,Outside,Incoming,CannotIdentify,CSE,San Cristobal,Mangrove
LasSardinas2,POZS,2,-0.71773,-89.38932,1.55,11032.455,977.994,22506.488,1765.208,46083.946,5009.951,22.64318066,25.6725296,24.60452861,1.203910828,0.876693127,1.203910828,1.221,,Afternoon,No,Inside,Incoming,Mixed,CSE,San Cristobal,Mangrove
