Filename,Length..mm.,Precision..mm.,Range..mm.,Site,SiteCode,Family,Genus,Species,Number,Stage,Activity,SpeciesName
M1B4L.avi,91.447,1.656,1450.687,Cartago1,CAR,Labridae,Thalassoma,lucasanum,1,AD,Passing,Thalassoma lucasanum
M1B4L.avi,111.588,5.349,2443.357,Cartago1,CAR,Haemulidae,Haemulon,steindachneri,1,,Passing,Haemulon steindachneri
M1B4L.avi,105.501,1.69,1740.434,Cartago1,CAR,Haemulidae,Orthopristis,forbesi,1,,Passing,Orthopristis forbesi
M1B4L.avi,0,4.007,1411.443,Cartago1,CAR,Sparidae,Archosargus,pourtalesii,1,,Passing,Archosargus pourtalesii
M1B4L.avi,122.635,6.95,2370.343,Cartago1,CAR,Sparidae,Archosargus,pourtalesii,1,,Passing,Archosargus pourtalesii
M1B4L.avi,121.35,4.247,1692.961,Cartago1,CAR,Sparidae,Archosargus,pourtalesii,1,,Passing,Archosargus pourtalesii
M1B4L.avi,106.494,0.724,893.704,Cartago1,CAR,Sparidae,Archosargus,pourtalesii,1,,Passing,Archosargus pourtalesii
M1B4L.avi,79.99,5.215,2482.591,Cartago1,CAR,Gerreidae,Eucinostomus,sp,1,,Passing,Eucinostomus sp
M1B4L.avi,0,4.032,1416.127,Cartago1,CAR,Gerreidae,Eucinostomus,sp,1,,Passing,Eucinostomus sp
M1B4L.avi,309.639,10.1,2627.404,Cartago1,CAR,Serranidae,Epinephelus,labriformis,1,,Passing,Epinephelus labriformis
M1B4L.avi,165.347,3.04,1466.72,Cartago1,CAR,Carangidae,Caranx,caballus,1,,Passing,Caranx caballus
M1B4L.avi,91.166,4.057,1980.033,Cartago1,CAR,Gerreidae,Eucinostomus,dowii,1,,Passing,Eucinostomus dowii
M1B4L.avi,77.484,4.467,2391.696,Cartago1,CAR,Gerreidae,Eucinostomus,dowii,1,,Passing,Eucinostomus dowii
M1B4L.avi,82.968,5.639,2315.273,Cartago1,CAR,Gerreidae,Eucinostomus,dowii,1,,Passing,Eucinostomus dowii
M1B4L.avi,86.671,4.908,2420.464,Cartago1,CAR,Gerreidae,Eucinostomus,dowii,1,,Passing,Eucinostomus dowii
M1B4L.avi,81.472,2.79,2467.357,Cartago1,CAR,Gerreidae,Eucinostomus,dowii,1,,Passing,Eucinostomus dowii
M1B4L.avi,103.064,5.731,3087.948,Cartago1,CAR,Gerreidae,Eucinostomus,dowii,1,,Passing,Eucinostomus dowii
M1B4L.avi,237.11,1.576,1992.157,Cartago1,CAR,Lutjanidae,Lutjanus,novemfasciatus,1,,Passing,Lutjanus novemfasciatus
M1B4L.avi,136.803,6.684,2264.784,Cartago1,CAR,Carangidae,Caranx,caninus,1,,Passing,Caranx caninus
M1B4L.avi,122.045,5.563,2638.202,Cartago1,CAR,Carangidae,Caranx,caninus,1,,Passing,Caranx caninus
M1B4L.avi,118.835,3.094,1704.748,Cartago1,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M1B4L.avi,87.223,1.313,1545.974,Cartago1,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M1B4L.avi,121.274,0.843,981.532,Cartago1,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M1B4L.avi,79.262,1.777,1691.139,Cartago1,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M1B4L.avi,105.902,1.033,1380.218,Cartago1,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M1B4L.avi,0,4.009,1411.537,Cartago1,CAR,Tetraodontidae,Sphoeroides,annulatus,6,,Passing,Sphoeroides annulatus
M1B4L.avi,96.381,5.216,3120.285,Cartago1,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M1B4L.avi,119.309,1.375,1446.901,Cartago1,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M1B4L.avi,77.246,1.38,1214.971,Cartago1,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M1B4L.avi,98.89,2.07,1558.714,Cartago1,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M1B4L.avi,89.496,4.281,2085.804,Cartago1,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M1B4L.avi,83.259,1.102,943.206,Cartago1,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M1B4L.avi,134.782,7.73,3998.63,Cartago1,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M1B4L.avi,87.469,1.384,1658.915,Cartago1,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M1B4L.avi,94.138,1.258,1522.145,Cartago1,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M1B4L.avi,85.601,0.855,1152.79,Cartago1,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M1B4L.avi,84.12,2.771,1626.156,Cartago1,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M1B4L.avi,98.107,1.409,1786.793,Cartago1,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M1B4L.avi,70.157,1.827,1521.437,Cartago1,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M1B4L.avi,118.086,4.729,2907.923,Cartago1,CAR,Pomacentridae,Stegastes,arcifrons,1,,Passing,Stegastes arcifrons
M1B4L.avi,0,4.009,1411.55,Cartago1,CAR,Pomacentridae,Stegastes,arcifrons,4,,Passing,Stegastes arcifrons
M1B4L.avi,112.273,2.653,2951.192,Cartago1,CAR,Pomacentridae,Stegastes,arcifrons,1,,Passing,Stegastes arcifrons
M1B4L.avi,111.18,5.622,2524.955,Cartago1,CAR,Pomacentridae,Stegastes,arcifrons,1,,Passing,Stegastes arcifrons
M1B4L.avi,100.951,4.393,3136.849,Cartago1,CAR,Pomacentridae,Stegastes,arcifrons,1,,Passing,Stegastes arcifrons
M1B4L.avi,97.292,2.207,2149.105,Cartago1,CAR,Pomacentridae,Abudefduf,troschelii,1,,Passing,Abudefduf troschelii
M1B4L.avi,188.022,4.061,1809.937,Cartago1,CAR,Serranidae,Mycteroperca,olfax,1,,Passing,Mycteroperca olfax
M1B4L.avi,152.641,2.103,1768.461,Cartago1,CAR,Serranidae,Mycteroperca,olfax,1,,Passing,Mycteroperca olfax
M1B4L.avi,173.045,2.442,1659.138,Cartago1,CAR,Serranidae,Mycteroperca,olfax,1,,Passing,Mycteroperca olfax
M1B4L.avi,420.796,4.496,2987.457,Cartago1,CAR,Labridae,Bodianus,diplotaenia,1,AD,Passing,Bodianus diplotaenia
M1B4L.avi,291.113,6.284,3570.55,Cartago1,CAR,Labridae,Bodianus,diplotaenia,1,F,Passing,Bodianus diplotaenia
M1B4L.avi,131.217,14.006,3631.432,Cartago1,CAR,Pomacentridae,Microspathodon,bairdii,1,,Passing,Microspathodon bairdii
M1B4L.avi,129.961,7.65,3386.529,Cartago1,CAR,Pomacentridae,Microspathodon,bairdii,1,,Passing,Microspathodon bairdii
M1B4L.avi,143.468,4.591,2346.386,Cartago1,CAR,Lutjanidae,Lutjanus,argentiventris,1,,Passing,Lutjanus argentiventris
M1B4L.avi,189.83,2.335,2343.319,Cartago1,CAR,Lutjanidae,Lutjanus,argentiventris,1,,Passing,Lutjanus argentiventris
M1B4L.avi,0,4.047,1416.679,Cartago1,CAR,Schoolsilveryfish,,sp,76,,Passing,Schoolsilveryfish sp
M1B4L.avi,100.136,2.637,1880.894,Cartago1,CAR,Haemulidae,Orthopristis,lethopristis,1,,Passing,Orthopristis lethopristis
M1B4L.avi,105.109,1.464,1486.377,Cartago1,CAR,Haemulidae,Orthopristis,forbesi,1,,Passing,Orthopristis forbesi
M1B4L.avi,0,4.005,1410.167,Cartago1,CAR,Scaridae,,sp,40,J,Passing,Scaridae sp
M2B2L.avi,0,2.761,1141.433,Cartago2,CAR,Serranidae,Mycteroperca,olfax,2,,Passing,Mycteroperca olfax
M2B2L.avi,187.686,3.055,1565.146,Cartago2,CAR,Serranidae,Mycteroperca,olfax,1,,Passing,Mycteroperca olfax
M2B2L.avi,176.506,2.828,2098.539,Cartago2,CAR,Serranidae,Mycteroperca,olfax,1,,Passing,Mycteroperca olfax
M2B2L.avi,119.525,1.29,1709.424,Cartago2,CAR,Serranidae,Mycteroperca,olfax,1,,Passing,Mycteroperca olfax
M2B2L.avi,172.213,2.024,1589.44,Cartago2,CAR,Lutjanidae,Lutjanus,argentiventris,1,,Passing,Lutjanus argentiventris
M2B2L.avi,227.744,4.546,1890.353,Cartago2,CAR,Lutjanidae,Lutjanus,argentiventris,1,,Passing,Lutjanus argentiventris
M2B2L.avi,80.44,9.481,2734.668,Cartago2,CAR,Pomacentridae,Abudefduf,troschelii,1,,Passing,Abudefduf troschelii
M2B2L.avi,140.777,3.646,2189.44,Cartago2,CAR,Lutjanidae,Lutjanus,argentiventris,1,,Passing,Lutjanus argentiventris
M2B2L.avi,80.541,1.683,1286.89,Cartago2,CAR,Pomacentridae,Abudefduf,troschelii,1,,Passing,Abudefduf troschelii
M2B2L.avi,80.505,2.64,1594.275,Cartago2,CAR,Pomacentridae,Abudefduf,troschelii,1,,Passing,Abudefduf troschelii
M2B2L.avi,93.532,1.46,1545.474,Cartago2,CAR,Pomacentridae,Abudefduf,troschelii,1,,Passing,Abudefduf troschelii
M2B2L.avi,81.951,0.672,904.967,Cartago2,CAR,Pomacentridae,Abudefduf,troschelii,1,,Passing,Abudefduf troschelii
M2B2L.avi,0,2.738,1136.566,Cartago2,CAR,Haemulidae,Haemulon,scudderii,1,,Passing,Haemulon scudderii
M2B2L.avi,102.234,2.776,1513.798,Cartago2,CAR,Gerreidae,Eucinostomus,dowii,1,,Passing,Eucinostomus dowii
M2B2L.avi,81.475,2.745,1385.682,Cartago2,CAR,Gerreidae,Eucinostomus,dowii,1,,Passing,Eucinostomus dowii
M2B2L.avi,134.133,2.798,1408.082,Cartago2,CAR,Haemulidae,Haemulon,steindachneri,1,,Passing,Haemulon steindachneri
M2B2L.avi,172.241,2.08,1501.958,Cartago2,CAR,Haemulidae,Haemulon,steindachneri,1,,Passing,Haemulon steindachneri
M2B2L.avi,0,2.699,1127.002,Cartago2,CAR,Serranidae,Serranus,psittacinus,1,,Passing,Serranus psittacinus
M2B2L.avi,130.017,1.057,1051.064,Cartago2,CAR,Haemulidae,Orthopristis,cantharinus,1,,Passing,Orthopristis cantharinus
M2B2L.avi,100.932,3.832,1726.725,Cartago2,CAR,Serranidae,Serranus,psittacinus,1,,Passing,Serranus psittacinus
M2B2L.avi,109.83,0.801,1041.408,Cartago2,CAR,Haemulidae,Orthopristis,cantharinus,1,,Passing,Orthopristis cantharinus
M2B2L.avi,122.674,1.075,897.104,Cartago2,CAR,Haemulidae,Orthopristis,cantharinus,1,,Passing,Orthopristis cantharinus
M2B2L.avi,106.762,0.694,900.125,Cartago2,CAR,Haemulidae,Orthopristis,cantharinus,1,,Passing,Orthopristis cantharinus
M2B2L.avi,0,2.776,1145.552,Cartago2,CAR,Serranidae,Epinephelus,labriformis,1,,Passing,Epinephelus labriformis
M2B2L.avi,302.342,3.536,2142.104,Cartago2,CAR,Serranidae,Epinephelus,labriformis,1,,Passing,Epinephelus labriformis
M2B2L.avi,313.218,20.787,4761.009,Cartago2,CAR,Pomacanthidae,Holacanthus,passer,1,,Passing,Holacanthus passer
M2B2L.avi,74.851,2.281,1298.496,Cartago2,CAR,Chaetodontidae,Chaetodon,humeralis,1,,Passing,Chaetodon humeralis
M2B2L.avi,84.816,3.58,1636.643,Cartago2,CAR,Chaetodontidae,Chaetodon,humeralis,1,,Passing,Chaetodon humeralis
M2B2L.avi,114.262,1.94,1519.688,Cartago2,CAR,Pomacentridae,Stegastes,arcifrons,1,,Passing,Stegastes arcifrons
M2B2L.avi,0,2.74,1136.925,Cartago2,CAR,Pomacentridae,Stegastes,arcifrons,4,,Passing,Stegastes arcifrons
M2B2L.avi,148.632,1.625,907.77,Cartago2,CAR,Pomacentridae,Stegastes,arcifrons,1,,Passing,Stegastes arcifrons
M2B2L.avi,59.459,1.021,1180.744,Cartago2,CAR,Pomacentridae,Stegastes,arcifrons,1,,Passing,Stegastes arcifrons
M2B2L.avi,58.623,6.843,2226.31,Cartago2,CAR,Pomacentridae,Stegastes,arcifrons,1,,Passing,Stegastes arcifrons
M2B2L.avi,111.86,3.986,2064.123,Cartago2,CAR,Pomacentridae,Stegastes,arcifrons,1,,Passing,Stegastes arcifrons
M2B2L.avi,58.935,0.822,1079.695,Cartago2,CAR,Pomacentridae,Stegastes,arcifrons,1,,Passing,Stegastes arcifrons
M2B2L.avi,70.421,0.871,935.976,Cartago2,CAR,Pomacentridae,Stegastes,arcifrons,1,,Passing,Stegastes arcifrons
M2B2L.avi,78.407,1.565,1266.739,Cartago2,CAR,Pomacentridae,Stegastes,arcifrons,1,,Passing,Stegastes arcifrons
M2B2L.avi,205.073,3.894,1631.052,Cartago2,CAR,Lutjanidae,Lutjanus,novemfasciatus,1,,Passing,Lutjanus novemfasciatus
M2B2L.avi,256.622,3.654,1627.324,Cartago2,CAR,Sparidae,Archosargus,pourtalesii,1,,Passing,Archosargus pourtalesii
M2B2L.avi,241.705,4.636,2431.372,Cartago2,CAR,Sparidae,Archosargus,pourtalesii,1,,Passing,Archosargus pourtalesii
M2B2L.avi,307.016,27.257,4470.501,Cartago2,CAR,Labridae,Bodianus,diplotaenia,1,AD,Passing,Bodianus diplotaenia
M2B2L.avi,278.881,6.224,2899.616,Cartago2,CAR,Acanthuridae,Prionurus,laticlavius,1,,Passing,Prionurus laticlavius
M2B2L.avi,68.593,2.772,1377.694,Cartago2,CAR,Labridae,Thalassoma,lucasanum,1,,Passing,Thalassoma lucasanum
M2B2L.avi,110.485,2.773,1869.781,Cartago2,CAR,Labridae,Thalassoma,lucasanum,1,,Passing,Thalassoma lucasanum
M2B2L.avi,111.83,0.664,881.781,Cartago2,CAR,Haemulidae,Orthopristis,forbesi,1,,Passing,Orthopristis forbesi
M2B2L.avi,101.666,0.68,780.898,Cartago2,CAR,Haemulidae,Orthopristis,forbesi,1,,Passing,Orthopristis forbesi
M2B2L.avi,115.215,0.753,887.578,Cartago2,CAR,Haemulidae,Orthopristis,forbesi,1,,Passing,Orthopristis forbesi
M2B2L.avi,0,2.775,1144.698,Cartago2,CAR,Scaridae,Scarus,ghobban,4,,Passing,Scarus ghobban
M2B2L.avi,0,2.737,1135.482,Cartago2,CAR,Schoolsilveryfish,,sp,200,,Passing,Schoolsilveryfish sp
M2B2L.avi,227.64,17.338,3936.395,Cartago2,CAR,Labridae,Bodianus,diplotaenia,1,,Passing,Bodianus diplotaenia
M2B2L.avi,0,2.748,1136.569,Cartago2,CAR,Labridae,Bodianus,diplotaenia,1,,Passing,Bodianus diplotaenia
M2B2L.avi,152.582,1.308,1115.907,Cartago2,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M2B2L.avi,311.096,1.642,1298.071,Cartago2,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M2B2L.avi,132.953,0.971,1203.639,Cartago2,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M2B2L.avi,109.934,1.37,1251.872,Cartago2,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M2B2L.avi,162.214,0.89,1171.921,Cartago2,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Feeding,Sphoeroides annulatus
M2B2L.avi,0,2.751,1140.546,Cartago2,CAR,Tetraodontidae,Sphoeroides,annulatus,15,,Passing,Sphoeroides annulatus
M2B2L.avi,163.633,1.351,1053.678,Cartago2,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M2B2L.avi,123.273,0.587,758.208,Cartago2,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M2B2L.avi,134.015,0.601,728.145,Cartago2,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M2B2L.avi,96.181,0.978,1251.964,Cartago2,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M2B2L.avi,171.194,0.927,1276.793,Cartago2,CAR,Tetraodontidae,Sphoeroides,annulatus,1,,Passing,Sphoeroides annulatus
M3P3L.avi,146.701,4.508,2310.845,Cartago3,CAR,Serranidae,Serranus,psittacinus,1,,Passing,Serranus psittacinus
M3P3L.avi,159.211,7.067,2246.269,Cartago3,CAR,Gerreidae,Eucinostomus,currani,1,,Passing,Eucinostomus currani
M3P3L.avi,110.814,6.194,2292.223,Cartago3,CAR,Gerreidae,Eucinostomus,currani,1,,Passing,Eucinostomus currani
M3P3L.avi,234.6,4.62,2395.524,Cartago3,CAR,Serranidae,Mycteroperca,olfax,1,,Passing,Mycteroperca olfax
M3P3L.avi,86.03,7.64,2610.232,Cartago3,CAR,Pomacentridae,Stegastes,arcifrons,1,,Passing,Stegastes arcifrons
M3P3L.avi,0,3.462,1300.445,Cartago3,CAR,Pomacentridae,Stegastes,arcifrons,3,,Passing,Stegastes arcifrons
M3P3L.avi,32.325,2.501,1505.937,Cartago3,CAR,Pomacentridae,Stegastes,arcifrons,1,,Passing,Stegastes arcifrons
M3P3L.avi,70.504,16.512,3528.859,Cartago3,CAR,Pomacentridae,Stegastes,arcifrons,1,,Passing,Stegastes arcifrons
M3P3L.avi,54.365,9.299,3609.252,Cartago3,CAR,Pomacentridae,Stegastes,arcifrons,1,,Passing,Stegastes arcifrons
M3P3L.avi,40.003,8.653,3817.992,Cartago3,CAR,Pomacentridae,Stegastes,arcifrons,1,,Passing,Stegastes arcifrons
M3P3L.avi,80.587,21.566,3691.186,Cartago3,CAR,Pomacentridae,Stegastes,arcifrons,1,,Passing,Stegastes arcifrons
M3P3L.avi,260.664,17.701,3401.209,Cartago3,CAR,Serranidae,Mycteroperca,olfax,1,,Passing,Mycteroperca olfax
M3P3L.avi,186.936,7.992,4264.588,Cartago3,CAR,Labridae,Bodianus,diplotaenia,1,J,Passing,Bodianus diplotaenia
M3P3L.avi,4.168,2.917,1291.274,Cartago3,CAR,Labridae,Bodianus,diplotaenia,1,J,Passing,Bodianus diplotaenia
M3P3L.avi,328.597,11.015,3311.303,Cartago3,CAR,Lutjanidae,Hoplopagrus,guentherii,1,,Passing,Hoplopagrus guentherii
M3P3L.avi,26.766,36.664,5844.21,Cartago3,CAR,Myliobatidae,Aetobatus,laticeps,1,,Passing,Aetobatus laticeps
M3P3L.avi,1183.024,99.207,8167.342,Cartago3,CAR,Carcharhinidae,Carcharhinus,limbatus,1,,Passing,Carcharhinus limbatus
M3P3L.avi,826.406,40.379,5613.995,Cartago3,CAR,Carcharhinidae,Carcharhinus,limbatus,1,,Passing,Carcharhinus limbatus
M3P3L.avi,841.587,10.772,3209.106,Cartago3,CAR,Carcharhinidae,Carcharhinus,limbatus,1,,Passing,Carcharhinus limbatus
M3P3L.avi,0,3.511,1309.661,Cartago3,CAR,Carcharhinidae,Carcharhinus,limbatus,2,,Passing,Carcharhinus limbatus
M3P3L.avi,760.045,6.295,2504.92,Cartago3,CAR,Carcharhinidae,Carcharhinus,limbatus,1,,Passing,Carcharhinus limbatus
M3P3L.avi,806.379,9.784,2896.644,Cartago3,CAR,Carcharhinidae,Carcharhinus,limbatus,1,,Passing,Carcharhinus limbatus
M3P3L.avi,0,3.428,1293.542,Cartago3,CAR,Haemulidae,Haemulon,scudderii,1,,Passing,Haemulon scudderii
M3P3L.avi,157.687,8.204,3771.285,Cartago3,CAR,Haemulidae,Haemulon,scudderii,1,,Passing,Haemulon scudderii
M3P3L.avi,100.788,2.953,4023.392,Cartago3,CAR,Haemulidae,Haemulon,scudderii,1,,Passing,Haemulon scudderii
M3P3L.avi,159.354,18.355,4153.625,Cartago3,CAR,Haemulidae,Haemulon,scudderii,1,,Passing,Haemulon scudderii
M3P3L.avi,247.751,20.07,3666.494,Cartago3,CAR,Haemulidae,Haemulon,scudderii,1,,Passing,Haemulon scudderii
M3P3L.avi,179.694,2.8,2812.184,Cartago3,CAR,Carangidae,Caranx,caballus,1,,Passing,Caranx caballus
M3P3L.avi,228.196,5.167,4209.978,Cartago3,CAR,Carangidae,Caranx,caballus,1,,Passing,Caranx caballus
M3P3L.avi,223.085,8.025,2691.624,Cartago3,CAR,Carangidae,Caranx,caballus,1,,Passing,Caranx caballus
M3P3L.avi,260.742,45.662,5368.465,Cartago3,CAR,Carangidae,Caranx,caballus,1,,Passing,Caranx caballus
M3P3L.avi,200.06,10.714,3085.33,Cartago3,CAR,Carangidae,Caranx,caballus,1,,Passing,Caranx caballus
M3P3L.avi,222.54,16.14,3475.493,Cartago3,CAR,Carangidae,Caranx,caballus,1,,Passing,Caranx caballus
M3P3L.avi,140.729,13.332,4534.222,Cartago3,CAR,Carangidae,Caranx,caballus,1,,Passing,Caranx caballus
M3P3L.avi,175.295,6.135,3275.154,Cartago3,CAR,Carangidae,Caranx,caballus,1,,Passing,Caranx caballus
M3P3L.avi,311.391,17.474,3321.579,Cartago3,CAR,Carangidae,Caranx,caballus,1,,Passing,Caranx caballus
M3P3L.avi,173.538,8.757,3757.913,Cartago3,CAR,Carangidae,Selar,crumenophthalmus,1,,Passing,Selar crumenophthalmus
M3P3L.avi,159.215,11.786,3804.497,Cartago3,CAR,Carangidae,Selar,crumenophthalmus,1,,Passing,Selar crumenophthalmus
M3P3L.avi,155.729,17.46,3671.333,Cartago3,CAR,Carangidae,Selar,crumenophthalmus,1,,Passing,Selar crumenophthalmus
M3P3L.avi,172.676,16.673,3610.937,Cartago3,CAR,Carangidae,Selar,crumenophthalmus,1,,Passing,Selar crumenophthalmus
M3P3L.avi,170.197,12.559,3628.977,Cartago3,CAR,Carangidae,Selar,crumenophthalmus,1,,Passing,Selar crumenophthalmus
M3P3L.avi,212.246,13.992,4589.032,Cartago3,CAR,Carangidae,Selar,crumenophthalmus,1,,Passing,Selar crumenophthalmus
M3P3L.avi,190.922,21.677,5161.378,Cartago3,CAR,Carangidae,Selar,crumenophthalmus,1,,Passing,Selar crumenophthalmus
M3P3L.avi,170.106,20.345,4349.215,Cartago3,CAR,Carangidae,Selar,crumenophthalmus,1,,Passing,Selar crumenophthalmus
M3P3L.avi,0,3.415,1289.266,Cartago3,CAR,Carangidae,Selar,crumenophthalmus,95,,Passing,Selar crumenophthalmus
M3P3L.avi,190.593,12.797,4536.503,Cartago3,CAR,Carangidae,Selar,crumenophthalmus,1,,Passing,Selar crumenophthalmus
