ScientificName,validAphiaID,ValidName,Family,Genus,Rank,CommonName,TrophicCat,TrophicLevel,CommImp,Distribution,Range,Habitat,JuvLgth_m,MaxLgth_m,IUCNStatus,a,b,LengthType,LenLenRatio
Abudefduf concolor,273696,Abudefduf concolor,Pomacentridae,Abudefduf,Species,Dusky sergeant major,Planktivore,2.68,No,Tropical,Panamic,Reef,0.06,0.19,LC,0.02455,3,TL,1.089324619
Abudefduf troschelii,273702,Abudefduf troschelii,Pomacentridae,Abudefduf,Species,Panamic sergeant major,Planktivore,3,No,Tropical,Panamic,"Reef, nearshore",0.08,0.23,LC,0.02455,3,TL,1.149425287
Acanthocybium solandri,127014,Acanthocybium solandri,Scombridae,Acanthocybium,Species,Wahoo,Carnivore,4.42,High,NA,NA,Pelagic,0.83,2.5,LC,0.0021,3.26,FL,1
Acanthurus nigricans,219638,Acanthurus nigricans,Acanthuridae,Acanthurus,Species,Whitecheek surgeonfish,Herbivore,2,No,NA,NA,Reef,0.07,0.21,LC,0.067,2.669,FL,1
Acanthurus xanthopterus,219634,Acanthurus xanthopterus,Acanthuridae,Acanthurus,Species,Yellowfin surgeonfish,Herbivore,2.87,No,NA,NA,Reef,0.23,0.7,LC,0.0339,2.9,FL,1
Aetobatus narinari,217426,Aetobatus narinari,Myliobatidae,Aetobatus,Species,Spotted eagle ray,Carnivore,4.2,No,Subtropical,Circumtropical,"Reef, nearshore, benthopelagic",0.77,2.3,NT,0.0059,3.13,DW,1
Aetobatus ocellatus,278243,Aetobatus ocellatus,Myliobatidae,Aetobatus,Species,Ocellated eagle ray,Carnivore,3.6,No,Tropical/Subtropical,Indo West Pacific,Benthopelagic,0.51,1.53,VU,0.01,3.04,DW,1
Aetobatus sp,205558,Aetobatus sp,Myliobatidae,Aetobatus,Genus,Eagle ray,Carnivore,,,,,,,,,,,,
Alectis ciliaris,159629,Alectis ciliaris,Carangidae,Alectis,Species,African pompano,Carnivore,3.46,High,NA,NA,Reef,0.5,1.5,LC,0.019,2.894,TL,1.123595506
Anisotremus interruptus,279619,Anisotremus interruptus,Haemulidae,Anisotremus,Species,Burrito grunt,Carnivore,3.5,Low,Tropical,Panamic,Reef,0.17,0.51,LC,0.0569,2.91,FL,1
Anisotremus scapularis,279622,Anisotremus scapularis,Haemulidae,Anisotremus,Species,Peruvian grunt,Carnivore,3.7,No,Tropical,Panamic,Reef,0.13,0.4,LC,0.0199,3.013,TL,1.044932079
Apogon atradorsatus,272977,Apogon atradorsatus,Apogonidae,Apogon,Species,Blacktip cardinalfish,Planktivore,3.6,No,Tropical,Eastern Pacific Oceanic Islands,Reef,0.04,0.13,LC,0.01072,3.1,TL,1.047
Apogon sp,125913,Apogon sp,Apogonidae,Apogon,Genus,Cardinalfish,Planktivore,,,,,,,,,,,,
Archosargus pourtalesii,275965,Archosargus pourtalesii,Sparidae,Archosargus,Species,Galapagos seabream,Carnivore,2.9,Low,Tropical,Endemic,"Reef, nearshore",0.12,0.36,NT,0.02239,2.94,TL,1.083
Arothron hispidus,219925,Arothron hispidus,Tetraodontidae,Arothron,Species,White-spotted puffer,Carnivore,3.2,No,Tropical,Panamic/IndoWest Pacific,"Reef, nearshore",0.17,0.5,LC,0.057,2.801,FL,1
Arothron meleagris,219926,Arothron meleagris,Tetraodontidae,Arothron,Species,Guineafowl puffer,Carnivore,3.6,No,Tropical,Panamic/IndoWest Pacific,"Reef, nearshore",0.17,0.5,LC,0.057,2.801,FL,1
Aulostomus chinensis,217964,Aulostomus chinensis,Aulostomidae,Aulostomus,Species,Chinese trumpetfish,Carnivore,4.2,No,Tropical,Panamic,Reef,0.27,0.8,LC,0.0002,3.5144,FL,1
Balistes polylepis,275234,Balistes polylepis,Balistidae,Balistes,Species,Finescale triggerfish,Carnivore,3.34,No,Subtropical,Panamic,Reef,0.27,0.8,LC,0.043,2.71,FL,1
Bodianus diplotaenia,273527,Bodianus diplotaenia,Labridae,Bodianus,Species,Mexican hogfish,Carnivore,3.4,Low,Subtropical,Panamic,Reef,0.25,0.76,LC,0.0123,3.04,FL,1
Bodianus eclancheri,273528,Bodianus eclancheri,Labridae,Bodianus,Species,Harlequin wrasse,Carnivore,2.7,No,Tropical,Chilean,"Reef, nearshore",0.2,0.61,LC,0.01202,3.05,TL,1.111
Calamus brachysomus,275967,Calamus brachysomus,Sparidae,Calamus,Species,Pacific porgy,Carnivore,3.8,No,Subtropical,Panamic,"Reef, nearshore",0.2,0.61,LC,0.398,2.876,FL,1
Canthidermis maculata,127398,Canthidermis maculata,Balistidae,Canthidermis,Species,Rough triggerfish,Planktivore,3.47,No,NA,NA,Reef,0.17,0.5,LC,0.0176,3.055,FL,1
Carangidae sp,125523,Carangidae sp,Carangidae,NA,Family,Jacks,,,,,,,,,,,,,
Caranx caballus,273271,Caranx caballus,Carangidae,Caranx,Species,Green jack,Carnivore,4.1,Medium,Subtropical,Panamic,"Pelagic, nearshore",0.18,0.55,LC,0.0325,2.91,FL,1
Caranx caninus,273272,Caranx caninus,Carangidae,Caranx,Species,Pacific crevalle jack,Carnivore,3.9,SportsFishing,Subtropical,Panamic,"Pelagic, nearshore",0.34,1.01,LC,0.0166,2.92,TL,1.145475372
Caranx lugubris,126805,Caranx lugubris,Carangidae,Caranx,Species,Black jack,Apex,4,SportsFishing,NA,NA,Benthopelagic,0.33,1,LC,0.0251,2.84,FL,1
Caranx melampygus,218419,Caranx melampygus,Carangidae,Caranx,Species,Bluefin trevally,Apex,4.28,No,NA,NA,Reef,0.39,1.17,LC,0.234,2.918,FL,1
Caranx sexfasciatus,218404,Caranx sexfasciatus,Carangidae,Caranx,Species,Bigeye trevally,Carnivore,4.5,SportsFishing,Tropical/Subtropical,IndoPacific,"Pelagic, reefs",0.4,1.2,LC,0.0265,3.005,SL,0.9
Caranx sp,125936,Caranx sp,Carangidae,Caranx,Genus,Jacks,,,,,,,,,,,,,
Caranx vinctus,273275,Caranx vinctus,Carangidae,Caranx,Species,Strip jack,Carnivore,3.7,No,Tropical,Eastern Central Pacific,Pelagic,0.12,0.37,LC,0.01738,2.95,TL,1.102535832
Carcharhinus sp,105719,Carcharhinus sp,Carcharhinidae,Carcharhinus,Genus,Sharks,Apex,,,,,,,,,,,,
Carcharhinus altimus,105787,Carcharhinus altimus,Carcharhinidae,Carcharhinus,Species,Bignose shark,Apex,4.5,No,Subtropical,Circumglobal,Reef,1,3,DD,0.00102,3.461,FL,1
Carcharhinus falciformis,105789,Carcharhinus falciformis,Carcharhinidae,Carcharhinus,Species,Silky shark,Apex,4.4,No,NA,NA,Reef,1.17,3.5,VU,0.0464,2.75,SL,0.954198473
Carcharhinus galapagensis,105790,Carcharhinus galapagensis,Carcharhinidae,Carcharhinus,Species,Galapagos shark,Apex,4.34,No,NA,NA,Reef,1.23,3.7,NT,0.0057,3.0283,TL,1.237
Carcharhinus limbatus,105793,Carcharhinus limbatus,Carcharhinidae,Carcharhinus,Species,Blacktip shark,Apex,4.4,No,Subtropical,Circumtropical,"Reef, pelagic",0.92,2.75,NT,0.00614,3.01,TL,1.207729469
Cardisoma crassum,444442,Cardisoma crassum,Gecarcinidae,Cardisoma,Species,Giant land crab,,NA,No,Tropical,Eastern Pacific,,NA,NA,,NA,NA,,
Centropomus viridis,280070,Centropomus viridis,Centropomidae,Centropomus,Species,White snook,Carnivore,4.2,High,Tropical,Panamic,"Estuarine, nearshore",0.4,1.2,LC,0.0107,2.93,TL,1.108
Cephalopholis panamensis,279152,Cephalopholis panamensis,Serranidae,Cephalopholis,Species,Pacific graysby,Carnivore,4.2,Low,Tropical,Panamic,"Reef, nearshore",0.13,0.39,LC,0.0217,3.035,SL,0.847
