SiteName,SiteCode,Latitude,Longitude,Depth,area100_m,perim100_m,area200_m,perim200_m,area500_m,perim500_m,WetTemp,DryTemp,YrTemp,WetChla,DryChla,YrChla,,Bioregion,Island,Habitat
ALBEMARLE_1,ALB,0.161576,-91.345364,2,3675.85,446.295,14288.74,1520.386,140965.253,7518.856,23.72466046,26.34996091,25.37158697,0.811232011,0.48956806,0.811232011,,CSE,Isabela E,Mangrove
ALBEMARLE_2,ALB,0.160178,-91.361832,2,11597.252,1115.563,21676.577,2170.502,32153.93,3392.445,23.72466046,26.34996091,25.37158697,0.811232011,0.48956806,0.811232011,,CSE,Isabela E,Mangrove
ALBEMARLE_3,ALB,0.155076,-91.365055,2,2452.522,405.709,4484.787,913.666,26371.236,3859.441,23.69499969,26.46999969,25.67714255,0.811232011,0.48956806,0.811232011,,CSE,Isabela E,Mangrove
BAHIA_TORTUGA_1,BAT,-0.762814,-90.343791,2,1153.028,286.877,23344.412,1207.025,815719.676,5754.46,22.97547613,26.38708286,24.98230362,0.514357717,0.439907223,0.439907223,,CSE,Santa Cruz,Mangrove
BALEADO_1,BALE,-0.674428,-91.212892,2,22032.652,1504.188,70599.517,4417.209,146571.175,9047.486,22.54302006,24.49883769,23.3716996,3.041879022,1.078679919,2.863406376,,Western,Fernandina,Mangrove
BALLENA_1,BALL,-0.812561,-90.827206,1,2793.881,280.521,32504.792,1777.875,106922.565,4657.15,23.02599945,25.72357069,24.59958267,0.4661147,0.596688449,0.531401575,,CSE,Isabela E,Mangrove
BARONESA_1,BAR,-1.2278,-90.43971,2,1919.508,498.755,4398.729,911.831,12418.654,2408.133,22.29299927,25.7244313,25.08898092,0.615613312,0.262910306,0.498045643,,CSE,Floreana,Mangrove
BOMBA_2,BOM,-0.18374,-90.70034,1,669.768,185.453,16726.599,2545.712,28288.656,4238.061,23.79708227,26.20196397,25.48049946,0.580977365,0.872537076,0.613372889,,CSE,Santiago,Mangrove
BOMBA_3,BOM,-0.17677,-90.70063,1,476.126,250.234,16219.881,2285.182,22262.895,3056.581,23.79708227,26.20196397,25.48049946,0.580977365,0.872537076,0.613372889,,CSE,Santiago,Mangrove
CARTAGO_1,CAR,-0.622571,-90.916856,2,14615.738,1332.677,41288.495,3051.237,108568.147,8556.066,23.26106861,26.38079571,24.77866284,2.863716888,1.070812289,1.760390981,,CSE,Isabela E,Mangrove
CARTAGO_2,CAR,-0.629,-90.920109,2,21370.316,1026.683,66889.524,2544.574,243386.049,7309.158,23.26106861,26.38079571,24.77866284,1.618724587,0.953706706,1.218607823,,CSE,Isabela E,Mangrove
CARTAGO_3,CAR,-0.62613,-90.92531,2,26595.775,1386.647,99509.773,2756.737,278440.868,8143.128,23.26106861,26.38079571,24.77866284,1.618724587,0.953706706,1.218607823,,CSE,Isabela E,Mangrove
CARTAGO_4,CAR,-0.625645,-90.9348,2,10786.579,810.819,54137.473,2359.721,265893.991,8396.146,23.26106861,26.38079571,24.77866284,1.618724587,0.953706706,1.218607823,,CSE,Isabela E,Mangrove
CARTAGO_5,CAR,-0.619673,-90.94934,2,27470.323,849.064,77954.34,1955.147,293749.744,6561.719,23.46846875,26.56902205,25.02187086,2.863716888,1.070812289,1.760390981,,CSE,Isabela E,Mangrove
CARTAGO_6,CAR,-0.576322,-90.981011,2,22972.673,1192.174,98583.187,2847.26,271758.445,10383.035,23.1325544,26.6603945,24.66471243,1.340003006,1.029484398,1.124464168,,CSE,Isabela E,Mangrove
CARTAGO_7,CAR,-0.5743,-90.97442,2,4388.944,245.777,25072.003,2039.641,132415.88,10595.328,23.1325544,26.6603945,24.66471243,1.340003006,1.029484398,1.124464168,,CSE,Isabela E,Mangrove
CARTAGO_CHICO_1,CARC,-0.653216,-90.868574,2,27675.849,973.986,119101.453,2440.06,580909.522,6479.333,23.21888747,26.08960882,24.41242671,0.507815044,0.592170703,0.540259529,,CSE,Isabela E,Mangrove
CARTAGO_CHICO_2,CARC,-0.6232,-90.891965,2,17981.732,549.939,72573.909,1362.414,258194.274,4718.367,23.13984179,26.26668129,24.61163066,1.615903695,0.952624614,1.284264155,,CSE,Isabela E,Mangrove
CERRO_COLORADO_1,CER,-0.481768,-91.219573,2,,,,,161.919,55.109,22.48233556,27.9849987,27.9849987,1.314369857,1.07964092,1.24024493,,Western,Fernandina,Mixed
CHAMPION_1,CHA,-1.23681,-90.3877,2,,,,,,,23.47553526,25.91178913,25.28016776,0.589136779,0.317998752,0.351891005,,CSE,Floreana,Rocky
CHAMPION_2,CHA,-1.23895,-90.40285,2,,,,,,,23.55854042,26.15124544,25.42828841,0.589136779,0.317998752,0.351891005,,CSE,Floreana,Rocky
DEREK_1,DER,-0.64097,-91.09471,2,188.153,127.945,754.28,364.524,2270.804,616.617,21.74749817,24.49038794,22.41533476,1.809620371,0.730434,1.689710774,,Western,Fernandina,Mangrove
DEREK_2,DER,-0.63875,-91.09178,2,,,,,754.28,364.524,21.74749817,24.49038794,22.41533476,1.809620371,0.730434,1.689710774,,Western,Fernandina,Mixed
